Date,Symbol,Price,Quantity
12/23/20,AAPL,130.96,76.36
12/23/20,ABT,107.45,93.07
12/23/20,ADSK,300.18,33.31
12/23/20,AKAM,107.06,93.41
12/23/20,AVGO,425.46,23.50
12/23/20,AZO,1192.99,8.38
12/23/20,CDNS,133.06,75.15
12/23/20,CLX,202.33,49.42
12/23/20,CMCSA,50.04,199.86
12/23/20,COST,361.89,27.63
12/23/20,CSX,89.67,111.52
12/23/20,DHR,220.57,45.34
12/23/20,DISH,30.97,322.89
12/23/20,EXPD,94.51,105.81
12/23/20,HD,269.81,37.06
12/23/20,JNJ,151.94,65.82
12/23/20,MCD,212.02,47.17
12/23/20,MRVL,46.41,215.47
12/23/20,NKE,141.76,70.54
12/23/20,NOW,550.06,18.18
12/23/20,PG,136.34,73.35
12/23/20,SWKS,150.74,66.34
12/23/20,TSLA,645.98,15.48
12/23/20,UPS,172.64,57.92
12/23/20,WBA,39.87,250.82
